instance,algorithm,random_seed,epsilon,horizon,regret
instance-1,round-robin,13,0,204800,41009
instance-1,round-robin,14,0,204800,40800
instance-1,round-robin,15,0,204800,40851
instance-1,round-robin,16,0,204800,41352
instance-1,round-robin,17,0,204800,41070
instance-1,round-robin,18,0,204800,40715
instance-1,round-robin,19,0,204800,40715
instance-1,round-robin,20,0,204800,41442
instance-1,round-robin,21,0,204800,40967
instance-1,round-robin,22,0,204800,41050
instance-1,round-robin,23,0,204800,41092
instance-1,round-robin,24,0,204800,40608
instance-1,round-robin,25,0,204800,40681
instance-1,round-robin,26,0,204800,40864
instance-1,round-robin,27,0,204800,41150
instance-1,round-robin,28,0,204800,40335
instance-1,round-robin,29,0,204800,41087
instance-1,round-robin,30,0,204800,40708
instance-1,round-robin,31,0,204800,40991
instance-1,round-robin,32,0,204800,40947
instance-1,round-robin,33,0,204800,41062
instance-1,round-robin,34,0,204800,41081
instance-1,round-robin,35,0,204800,40452
instance-1,round-robin,36,0,204800,41070
instance-1,round-robin,37,0,204800,41211
instance-1,round-robin,38,0,204800,41000
instance-1,round-robin,39,0,204800,41122
instance-1,round-robin,40,0,204800,40797
instance-1,round-robin,41,0,204800,40836
instance-1,round-robin,42,0,204800,41195
instance-1,round-robin,43,0,204800,41094
instance-1,round-robin,44,0,204800,41751
instance-1,round-robin,45,0,204800,41034
instance-1,round-robin,46,0,204800,40988
instance-1,round-robin,47,0,204800,40973
instance-1,round-robin,48,0,204800,41017
instance-1,round-robin,49,0,204800,41035
instance-1,ucb,0,0,50,8
instance-1,ucb,1,0,50,7
instance-1,ucb,2,0,50,6
instance-1,ucb,3,0,50,6
instance-1,ucb,4,0,50,6
instance-1,ucb,5,0,50,7
instance-1,ucb,6,0,50,7
instance-1,ucb,7,0,50,1
instance-1,ucb,8,0,50,6
instance-1,ucb,9,0,50,3
instance-1,ucb,10,0,50,6
instance-1,ucb,11,0,50,6
instance-1,ucb,12,0,50,4
instance-1,ucb,13,0,50,6
instance-1,ucb,14,0,50,3
instance-1,ucb,15,0,50,6
instance-1,ucb,16,0,50,2
instance-1,ucb,17,0,50,12
instance-1,ucb,18,0,50,3
instance-1,ucb,19,0,50,-1
instance-1,ucb,20,0,50,4
instance-1,ucb,21,0,50,4
instance-1,ucb,22,0,50,11
instance-1,ucb,23,0,50,-1
instance-1,ucb,24,0,50,8
instance-1,ucb,25,0,50,3
instance-1,ucb,26,0,50,8
instance-1,ucb,27,0,50,5
instance-1,ucb,28,0,50,1
instance-1,ucb,29,0,50,-1
instance-1,ucb,30,0,50,7
instance-1,ucb,31,0,50,4
instance-1,ucb,32,0,50,4
instance-1,ucb,33,0,50,6
instance-1,ucb,34,0,50,5
instance-1,ucb,35,0,50,4
instance-1,ucb,36,0,50,8
instance-1,ucb,37,0,50,4
instance-1,ucb,38,0,50,0
instance-1,ucb,39,0,50,3
